TimeStamp;P_HOME;temperature;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6;day_of_week_1;day_of_week_2;day_of_week_3;day_of_week_4;day_of_week_5;day_of_week_6
2025-05-30 21:00:00;-787.75425;13.9;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 22:00:00;-318.1359166666667;13.4;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-30 23:00:00;-297.757;12.9;False;False;False;True;False;False;False;False;False;True;False;False
2025-05-31 00:00:00;-2125.64575;12.9;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 01:00:00;-936.4051666666668;13.2;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 02:00:00;-738.0;13.6;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 03:00:00;-738.0;13.9;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 04:00:00;-738.0;13.1;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 05:00:00;-1005.5102499999999;13.4;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 06:00:00;-1293.8884166666667;15.3;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 07:00:00;-748.1259166666667;16.8;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 08:00:00;-487.81941666666665;17.5;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 09:00:00;-310.07183333333336;18.6;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 10:00:00;-308.0;19.6;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 11:00:00;-308.0;20.4;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 12:00:00;-308.0;21.0;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 13:00:00;-583.5654166666667;21.5;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 14:00:00;-613.801;20.7;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 15:00:00;-790.2594166666667;21.4;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 16:00:00;-845.3270833333332;21.0;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 17:00:00;-2880.0514166666667;19.9;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 18:00:00;-2384.105666666667;19.1;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 19:00:00;-1343.855;17.6;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 20:00:00;-473.04733333333337;15.7;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 21:00:00;-378.3620833333334;15.6;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 22:00:00;-473.1400833333334;15.8;False;False;False;False;True;False;False;False;False;False;True;False
2025-05-31 23:00:00;-594.3294999999999;14.9;False;False;False;False;True;False;False;False;False;False;True;False
2025-06-01 00:00:00;-1007.2344166666667;14.1;False;False;False;False;False;True;False;False;False;False;False;True
