date;forecast;actual;weather_combo
2026-02-20 06:00:00;3667.2899721867157;3080.9115;['temperature', 'wind_speed', 'pressure']
2026-02-20 07:00:00;3928.3421164104657;4425.24725;['temperature', 'wind_speed', 'pressure']
2026-02-20 08:00:00;4218.066051728582;5264.822999999999;['temperature', 'wind_speed', 'pressure']
2026-02-20 09:00:00;4308.614856585029;3476.0955;['temperature', 'wind_speed', 'pressure']
2026-02-20 10:00:00;3504.4815937601484;3282.589;['temperature', 'wind_speed', 'pressure']
2026-02-20 11:00:00;3546.498441629996;3600.80525;['temperature', 'wind_speed', 'pressure']
2026-02-20 12:00:00;3344.224573553456;4432.64325;['temperature', 'wind_speed', 'pressure']
2026-02-20 13:00:00;3317.730701984883;2361.1320000000005;['temperature', 'wind_speed', 'pressure']
2026-02-20 14:00:00;3276.1870597378156;1551.0443333333333;['temperature', 'wind_speed', 'pressure']
2026-02-20 15:00:00;3230.686373379157;2872.442;['temperature', 'wind_speed', 'pressure']
2026-02-20 16:00:00;3650.3836526387654;3774.00675;['temperature', 'wind_speed', 'pressure']
2026-02-20 17:00:00;4787.318895238881;5136.79725;['temperature', 'wind_speed', 'pressure']
2026-02-20 18:00:00;5206.4304970816465;5177.334;['temperature', 'wind_speed', 'pressure']
2026-02-20 19:00:00;3244.8905831719508;5452.91475;['temperature', 'wind_speed', 'pressure']
2026-02-20 20:00:00;4375.958963854577;5548.0960000000005;['temperature', 'wind_speed', 'pressure']
2026-02-20 21:00:00;3861.4549349529007;4351.4605;['temperature', 'wind_speed', 'pressure']
2026-02-20 22:00:00;3468.289292165168;4562.4445;['temperature', 'wind_speed', 'pressure']
2026-02-20 23:00:00;3793.541192331735;3240.04275;['temperature', 'wind_speed', 'pressure']
2026-02-10 00:00:00;3079.226416995756;2312.257;['temperature', 'wind_speed', 'precipitation']
2026-02-10 01:00:00;3101.889014646949;2445.75475;['temperature', 'wind_speed', 'precipitation']
2026-02-10 02:00:00;2318.744588100622;2738.38875;['temperature', 'wind_speed', 'precipitation']
2026-02-10 03:00:00;2752.756847680053;2507.56425;['temperature', 'wind_speed', 'precipitation']
2026-02-10 04:00:00;2538.2175028403844;2972.28575;['temperature', 'wind_speed', 'precipitation']
2026-02-10 05:00:00;3280.2438574037274;2894.95425;['temperature', 'wind_speed', 'precipitation']
2026-02-10 06:00:00;3176.9980877919115;3762.406;['temperature', 'wind_speed', 'precipitation']
2026-02-10 07:00:00;2874.3469562299433;2580.2795;['temperature', 'wind_speed', 'precipitation']
2026-02-10 08:00:00;2977.4105610125785;4036.3455;['temperature', 'wind_speed', 'precipitation']
2026-02-10 09:00:00;2691.843547154058;3671.19375;['temperature', 'wind_speed', 'precipitation']
2026-02-10 10:00:00;3202.5705283622005;2416.94175;['temperature', 'wind_speed', 'precipitation']
2026-02-10 11:00:00;3091.631621713097;2677.89175;['temperature', 'wind_speed', 'precipitation']
2026-02-10 12:00:00;3235.0034626222528;1806.73475;['temperature', 'wind_speed', 'precipitation']
2026-02-10 13:00:00;3139.427187222554;3154.1665;['temperature', 'wind_speed', 'precipitation']
2026-02-10 14:00:00;2693.971789284242;2227.19575;['temperature', 'wind_speed', 'precipitation']
2026-02-10 15:00:00;2485.46262529069;2543.43525;['temperature', 'wind_speed', 'precipitation']
2026-02-10 16:00:00;2993.545115560099;2576.265;['temperature', 'wind_speed', 'precipitation']
